FGs,F-score,Precision,Recall,Frequency
B,0.0,0.0,0.0,2
B#N,0.0,0.0,0.0,2
BrC(Br)=C(Br)Br,0.0,0.0,0.0,1
BrC=C(Br)Br,0.0,0.0,0.0,1
BrC=CBr,0.0,0.0,0.0,1
C#CC,0.0,0.0,0.0,1
C#CC#N,0.0,0.0,0.0,1
C#CC(=O)OC,0.0,0.0,0.0,10
C#C[Si,0.0,0.0,0.0,1
C#Cc,0.0,0.0,0.0,1
C1=CC2(cc1)OCCO2,0.0,0.0,0.0,5
C1=CC=CC=CC=C1,0.0,0.0,0.0,1
C1=CC=CCC=C1,0.0,0.0,0.0,1
C1=CCC=C1,0.0,0.0,0.0,3
C1=COCC1,0.0,0.0,0.0,1
C1=COCCO1,0.0,0.0,0.0,3
C1=NCCO1,0.0,0.0,0.0,2
C1=NNCC1,0.0,0.0,0.0,1
C1CN1,0.0,0.0,0.0,1
C1CO1,0.0,0.0,0.0,2
C1COCO1,0.0,0.0,0.0,2
C1CS1,0.0,0.0,0.0,1
C1CSCN1,0.0,0.0,0.0,1
C1N2CN3CN1CN(C2)C3,0.0,0.0,0.0,1
C=C(Br)Br,0.0,0.0,0.0,1
C=C(Br)C(=O)O,0.0,0.0,0.0,1
C=C(Br)C(=O)OC,0.0,0.0,0.0,1
C=C(C#N)C(=O)OC,0.0,0.0,0.0,1
C=C(C)Br,0.0,0.0,0.0,1
C=C(C)C,0.0,0.0,0.0,5
C=C(C)C#N,0.0,0.0,0.0,1
C=C(C)C(=O)NC,0.0,0.0,0.0,1
C=C(C)C(=O)O,0.0,0.0,0.0,1
C=C(C)C(=O)OC,0.0,0.0,0.0,8
C=C(C)C(=O)OC(=O)C(=C)C,0.0,0.0,0.0,1
C=C(C)C(C)=O,0.0,0.0,0.0,1
C=C(C)C(N)=O,0.0,0.0,0.0,2
C=C(C)C(OC)OC,0.0,0.0,0.0,1
C=C(C)C=C(C)C,0.0,0.0,0.0,1
C=C(C)C=CC=C(C)C,0.0,0.0,0.0,1
C=C(C)O,0.0,0.0,0.0,3
C=C(C)OC,0.0,0.0,0.0,1
