FGs,F-score,Precision,Recall,Frequency
COC(=O)C#CC(=O)OC,0.1904761904761904,0.3333333333333333,0.1333333333333333,58
CBr,0.2941176470588235,0.4545454545454545,0.217391304347826,94
cNN=C(C)C,0.2941176470588235,0.5,0.2083333333333333,94
COC(=O)NCO,0.3076923076923076,0.375,0.2608695652173913,90
COC(C)SC,0.3157894736842105,0.6,0.2142857142857142,56
COC(=O)C(=CN(C)C)C(C(=O)OC)=C(C)C,0.3636363636363636,0.4333333333333333,0.3132530120481928,333
cC(=O)C(=O)O,0.4,0.4166666666666667,0.3846153846153846,51
cN(c)c,0.4285714285714285,0.5454545454545454,0.3529411764705882,66
FC(F)=C(F)F,0.4313725490196078,0.6111111111111112,0.3333333333333333,266
c=S,0.4324324324324324,0.7619047619047619,0.3018867924528302,214
S=C1CNC(=S)N1,0.4444444444444444,0.5714285714285714,0.3636363636363636,88
CNP(=O)(OC)OC,0.4477611940298507,0.6,0.3571428571428571,167
CC=C(C)Cl,0.4927536231884059,0.53125,0.4594594594594595,146
cC(=O)SSC(c)=O,0.5084745762711864,0.8333333333333334,0.3658536585365853,164
cNN,0.5686274509803921,0.725,0.4677419354838709,248
C1N2CN3CN1CN(C2)C3,0.576271186440678,0.8095238095238095,0.4473684210526316,154
CC(=O)N1CC(=O)NC1=S,0.5853658536585366,0.6923076923076923,0.5070422535211268,568
CC(=O)C(C)=C(C)C,0.6031746031746031,0.7916666666666666,0.4871794871794871,158
O=C1CCS1,0.6153846153846153,0.8333333333333334,0.4878048780487805,163
C=CC(OC)OC,0.6651376146788991,0.7178217821782178,0.6196581196581197,937
cC=CC=Cc,0.6666666666666666,0.8,0.5714285714285714,54
CC(=O)C=CC(=O)O,0.6666666666666667,0.9,0.5294117647058824,70
COC(=O)C(C(=O)OC)=C(C)C,0.6712962962962963,0.725,0.625,927
CSC,0.6745562130177516,0.7125,0.6404494382022472,358
COP(=S)(Cl)Cl,0.6862745098039215,0.7291666666666666,0.6481481481481481,217
cC12NC(=O)NC1(c)NC(=O)N2,0.689655172413793,0.7142857142857143,0.6666666666666666,59
cC=C(C)[N+,0.6938775510204083,0.68,0.7083333333333334,96
cBr,0.6947368421052631,0.7333333333333333,0.66,199
cNNS(c)(=O)=O,0.708860759493671,0.7466666666666667,0.6746987951807228,331
CN1CN(C)CN(C)C1,0.7142857142857143,0.7142857142857143,0.7142857142857143,56
COC1(OC)C(Cl)=C(Cl)C(Cl)=C1Cl,0.7272727272727273,0.7843137254901961,0.6779661016949152,235
cC(=O)OOC,0.73224043715847,0.8170731707317073,0.6633663366336634,402
CC(=O)C(C)=CC(=O)O,0.7394957983193277,0.8461538461538461,0.6567164179104478,269
cS(=O)(=O)N1C(=O)ccS1(=O)=O,0.7547169811320754,0.7692307692307693,0.7407407407407407,108
NC(=S)C(N)=S,0.7580645161290323,0.7966101694915254,0.7230769230769231,522
CN1C(=O)COC1=O,0.7586206896551724,0.8148148148148148,0.7096774193548387,124
cS(=O)(O)=NO,0.76,0.8028169014084507,0.7215189873417721,318
O=C1ccN(Cl)C1=O,0.7619047619047619,0.8648648648648649,0.6808510638297872,375
CC=C(Cl)Cl,0.7761194029850746,0.8387096774193549,0.7222222222222222,144
COP(=O)(Cl)OC,0.7819548872180451,0.8253968253968254,0.7428571428571429,279
CSN1C(=O)ccC1=O,0.7894736842105262,0.8333333333333334,0.75,241
CC(=CC=C(C)C(=O)O)C(=O)O,0.7928994082840236,0.7976190476190477,0.788235294117647,342
cOP(=O)(NC)Oc,0.7959183673469388,0.8125,0.78,198
cP,0.7987012987012988,0.831081081081081,0.76875,638
cC(=O)NNC(N)=O,0.7999999999999999,0.8222222222222222,0.7789473684210526,378
cOC(=O)NC,0.8113207547169813,0.8958333333333334,0.7413793103448276,927
cNC1=C([n+,0.8181818181818182,0.84375,0.7941176470588235,136
COP(OC)N(C)C,0.8253968253968254,0.8666666666666667,0.7878787878787878,134
c[nH,0.8333333333333333,0.9090909090909092,0.7692307692307693,52
CN=[N+,0.8387096774193549,0.896551724137931,0.7878787878787878,396
cN(C)N=O,0.845360824742268,0.845360824742268,0.845360824742268,774
cOC(=O)N(C)N=O,0.8463949843260188,0.8385093167701864,0.8544303797468354,633
cC(OC)OC,0.85,0.85,0.85,78
cOP(c)c,0.8683274021352313,0.8937728937728938,0.8442906574394463,1155
CSC1=NCCS1,0.8837209302325582,0.8636363636363636,0.9047619047619048,83
cC(c)=C(c)c,0.8947368421052632,0.85,0.9444444444444444,70
O=CNCNC=O,0.9090909090909092,0.9375,0.8823529411764706,69
cOP(=S)(OC)SC,0.9166666666666666,0.9166666666666666,0.9166666666666666,96
O=C1C=CC(=O)C=C1,0.92,0.8846153846153846,0.9583333333333334,95
